//1_1tf_telrij_tellen_heen.ps
//1_1tf_telrij_tellen_heen.ps from: 1 span: 10 maxanswer: -1 spreiding: 100 step: -1
1 2 3 4##T
1 3 4 5##F
1 2 3 4##T
1 2 4 5##F
1 2 3 4##T
1 2 3 5##F
2 3 4 5##T
2 4 5 6##F
2 3 4 5##T
2 3 5 6##F
2 3 4 5##T
2 3 4 6##F
3 4 5 6##T
3 5 6 7##F
3 4 5 6##T
3 4 6 7##F
3 4 5 6##T
3 4 5 7##F
4 5 6 7##T
4 6 7 8##F
4 5 6 7##T
4 5 7 8##F
4 5 6 7##T
4 5 6 8##F
5 6 7 8##T
5 7 8 9##F
5 6 7 8##T
5 6 8 9##F
5 6 7 8##T
5 6 7 9##F
6 7 8 9##T
6 8 9 10##F
6 7 8 9##T
6 7 9 10##F
6 7 8 9##T
6 7 8 10##F
2 3 4 5##T
2 4 5 6##F
2 3 4 5##T
2 3 5 6##F
2 3 4 5##T
2 3 4 6##F
3 4 5 6##T
3 5 6 7##F
3 4 5 6##T
3 4 6 7##F
3 4 5 6##T
3 4 5 7##F
4 5 6 7##T
4 6 7 8##F
4 5 6 7##T
4 5 7 8##F
4 5 6 7##T
4 5 6 8##F
5 6 7 8##T
5 7 8 9##F
5 6 7 8##T
5 6 8 9##F
5 6 7 8##T
5 6 7 9##F
6 7 8 9##T
6 8 9 10##F
6 7 8 9##T
6 7 9 10##F
6 7 8 9##T
6 7 8 10##F
7 8 9 10##T
7 9 10 11##F
7 8 9 10##T
7 8 10 11##F
7 8 9 10##T
7 8 9 11##F
3 4 5 6##T
3 5 6 7##F
3 4 5 6##T
3 4 6 7##F
3 4 5 6##T
3 4 5 7##F
4 5 6 7##T
4 6 7 8##F
4 5 6 7##T
4 5 7 8##F
4 5 6 7##T
4 5 6 8##F
5 6 7 8##T
5 7 8 9##F
5 6 7 8##T
5 6 8 9##F
5 6 7 8##T
5 6 7 9##F
6 7 8 9##T
6 8 9 10##F
6 7 8 9##T
6 7 9 10##F
6 7 8 9##T
6 7 8 10##F
7 8 9 10##T
7 9 10 11##F
7 8 9 10##T
7 8 10 11##F
7 8 9 10##T
7 8 9 11##F
8 9 10 11##T
8 10 11 12##F
8 9 10 11##T
8 9 11 12##F
8 9 10 11##T
8 9 10 12##F
4 5 6 7##T
4 6 7 8##F
4 5 6 7##T
4 5 7 8##F
4 5 6 7##T
4 5 6 8##F
5 6 7 8##T
5 7 8 9##F
5 6 7 8##T
5 6 8 9##F
5 6 7 8##T
5 6 7 9##F
6 7 8 9##T
6 8 9 10##F
6 7 8 9##T
6 7 9 10##F
6 7 8 9##T
6 7 8 10##F
7 8 9 10##T
7 9 10 11##F
7 8 9 10##T
7 8 10 11##F
7 8 9 10##T
7 8 9 11##F
8 9 10 11##T
8 10 11 12##F
8 9 10 11##T
8 9 11 12##F
8 9 10 11##T
8 9 10 12##F
9 10 11 12##T
9 11 12 13##F
9 10 11 12##T
9 10 12 13##F
9 10 11 12##T
9 10 11 13##F
5 6 7 8##T
5 7 8 9##F
5 6 7 8##T
5 6 8 9##F
5 6 7 8##T
5 6 7 9##F
6 7 8 9##T
6 8 9 10##F
6 7 8 9##T
6 7 9 10##F
6 7 8 9##T
6 7 8 10##F
7 8 9 10##T
7 9 10 11##F
7 8 9 10##T
7 8 10 11##F
7 8 9 10##T
7 8 9 11##F
8 9 10 11##T
8 10 11 12##F
8 9 10 11##T
8 9 11 12##F
8 9 10 11##T
8 9 10 12##F
9 10 11 12##T
9 11 12 13##F
9 10 11 12##T
9 10 12 13##F
9 10 11 12##T
9 10 11 13##F
10 11 12 13##T
10 12 13 14##F
10 11 12 13##T
10 11 13 14##F
10 11 12 13##T
10 11 12 14##F
6 7 8 9##T
6 8 9 10##F
6 7 8 9##T
6 7 9 10##F
6 7 8 9##T
6 7 8 10##F
7 8 9 10##T
7 9 10 11##F
7 8 9 10##T
7 8 10 11##F
7 8 9 10##T
7 8 9 11##F
8 9 10 11##T
8 10 11 12##F
8 9 10 11##T
8 9 11 12##F
8 9 10 11##T
8 9 10 12##F
9 10 11 12##T
9 11 12 13##F
9 10 11 12##T
9 10 12 13##F
9 10 11 12##T
9 10 11 13##F
10 11 12 13##T
10 12 13 14##F
10 11 12 13##T
10 11 13 14##F
10 11 12 13##T
10 11 12 14##F
11 12 13 14##T
11 13 14 15##F
11 12 13 14##T
11 12 14 15##F
11 12 13 14##T
11 12 13 15##F
7 8 9 10##T
7 9 10 11##F
7 8 9 10##T
7 8 10 11##F
7 8 9 10##T
7 8 9 11##F
8 9 10 11##T
8 10 11 12##F
8 9 10 11##T
8 9 11 12##F
8 9 10 11##T
8 9 10 12##F
9 10 11 12##T
9 11 12 13##F
9 10 11 12##T
9 10 12 13##F
9 10 11 12##T
9 10 11 13##F
10 11 12 13##T
10 12 13 14##F
10 11 12 13##T
10 11 13 14##F
10 11 12 13##T
10 11 12 14##F
11 12 13 14##T
11 13 14 15##F
11 12 13 14##T
11 12 14 15##F
11 12 13 14##T
11 12 13 15##F
12 13 14 15##T
12 14 15 16##F
12 13 14 15##T
12 13 15 16##F
12 13 14 15##T
12 13 14 16##F
8 9 10 11##T
8 10 11 12##F
8 9 10 11##T
8 9 11 12##F
8 9 10 11##T
8 9 10 12##F
9 10 11 12##T
9 11 12 13##F
9 10 11 12##T
9 10 12 13##F
9 10 11 12##T
9 10 11 13##F
10 11 12 13##T
10 12 13 14##F
10 11 12 13##T
10 11 13 14##F
10 11 12 13##T
10 11 12 14##F
11 12 13 14##T
11 13 14 15##F
11 12 13 14##T
11 12 14 15##F
11 12 13 14##T
11 12 13 15##F
12 13 14 15##T
12 14 15 16##F
12 13 14 15##T
12 13 15 16##F
12 13 14 15##T
12 13 14 16##F
13 14 15 16##T
13 15 16 17##F
13 14 15 16##T
13 14 16 17##F
13 14 15 16##T
13 14 15 17##F
9 10 11 12##T
9 11 12 13##F
9 10 11 12##T
9 10 12 13##F
9 10 11 12##T
9 10 11 13##F
10 11 12 13##T
10 12 13 14##F
10 11 12 13##T
10 11 13 14##F
10 11 12 13##T
10 11 12 14##F
11 12 13 14##T
11 13 14 15##F
11 12 13 14##T
11 12 14 15##F
11 12 13 14##T
11 12 13 15##F
12 13 14 15##T
12 14 15 16##F
12 13 14 15##T
12 13 15 16##F
12 13 14 15##T
12 13 14 16##F
13 14 15 16##T
13 15 16 17##F
13 14 15 16##T
13 14 16 17##F
13 14 15 16##T
13 14 15 17##F
14 15 16 17##T
14 16 17 18##F
14 15 16 17##T
14 15 17 18##F
14 15 16 17##T
14 15 16 18##F
10 11 12 13##T
10 12 13 14##F
10 11 12 13##T
10 11 13 14##F
10 11 12 13##T
10 11 12 14##F
11 12 13 14##T
11 13 14 15##F
11 12 13 14##T
11 12 14 15##F
11 12 13 14##T
11 12 13 15##F
12 13 14 15##T
12 14 15 16##F
12 13 14 15##T
12 13 15 16##F
12 13 14 15##T
12 13 14 16##F
13 14 15 16##T
13 15 16 17##F
13 14 15 16##T
13 14 16 17##F
13 14 15 16##T
13 14 15 17##F
14 15 16 17##T
14 16 17 18##F
14 15 16 17##T
14 15 17 18##F
14 15 16 17##T
14 15 16 18##F
15 16 17 18##T
15 17 18 19##F
15 16 17 18##T
15 16 18 19##F
15 16 17 18##T
15 16 17 19##F
11 12 13 14##T
11 13 14 15##F
11 12 13 14##T
11 12 14 15##F
11 12 13 14##T
11 12 13 15##F
12 13 14 15##T
12 14 15 16##F
12 13 14 15##T
12 13 15 16##F
12 13 14 15##T
12 13 14 16##F
13 14 15 16##T
13 15 16 17##F
13 14 15 16##T
13 14 16 17##F
13 14 15 16##T
13 14 15 17##F
14 15 16 17##T
14 16 17 18##F
14 15 16 17##T
14 15 17 18##F
14 15 16 17##T
14 15 16 18##F
15 16 17 18##T
15 17 18 19##F
15 16 17 18##T
15 16 18 19##F
15 16 17 18##T
15 16 17 19##F
16 17 18 19##T
16 18 19 20##F
16 17 18 19##T
16 17 19 20##F
16 17 18 19##T
16 17 18 20##F
12 13 14 15##T
12 14 15 16##F
12 13 14 15##T
12 13 15 16##F
12 13 14 15##T
12 13 14 16##F
13 14 15 16##T
13 15 16 17##F
13 14 15 16##T
13 14 16 17##F
13 14 15 16##T
13 14 15 17##F
14 15 16 17##T
14 16 17 18##F
14 15 16 17##T
14 15 17 18##F
14 15 16 17##T
14 15 16 18##F
15 16 17 18##T
15 17 18 19##F
15 16 17 18##T
15 16 18 19##F
15 16 17 18##T
15 16 17 19##F
16 17 18 19##T
16 18 19 20##F
16 17 18 19##T
16 17 19 20##F
16 17 18 19##T
16 17 18 20##F
17 18 19 20##T
17 19 20 21##F
17 18 19 20##T
17 18 20 21##F
17 18 19 20##T
17 18 19 21##F
13 14 15 16##T
13 15 16 17##F
13 14 15 16##T
13 14 16 17##F
13 14 15 16##T
13 14 15 17##F
14 15 16 17##T
14 16 17 18##F
14 15 16 17##T
14 15 17 18##F
14 15 16 17##T
14 15 16 18##F
15 16 17 18##T
15 17 18 19##F
15 16 17 18##T
15 16 18 19##F
15 16 17 18##T
15 16 17 19##F
16 17 18 19##T
16 18 19 20##F
16 17 18 19##T
16 17 19 20##F
16 17 18 19##T
16 17 18 20##F
17 18 19 20##T
17 19 20 21##F
17 18 19 20##T
17 18 20 21##F
17 18 19 20##T
17 18 19 21##F
18 19 20 21##T
18 20 21 22##F
18 19 20 21##T
18 19 21 22##F
18 19 20 21##T
18 19 20 22##F
14 15 16 17##T
14 16 17 18##F
14 15 16 17##T
14 15 17 18##F
14 15 16 17##T
14 15 16 18##F
15 16 17 18##T
15 17 18 19##F
15 16 17 18##T
15 16 18 19##F
15 16 17 18##T
15 16 17 19##F
16 17 18 19##T
16 18 19 20##F
16 17 18 19##T
16 17 19 20##F
16 17 18 19##T
16 17 18 20##F
17 18 19 20##T
17 19 20 21##F
17 18 19 20##T
17 18 20 21##F
17 18 19 20##T
17 18 19 21##F
18 19 20 21##T
18 20 21 22##F
18 19 20 21##T
18 19 21 22##F
18 19 20 21##T
18 19 20 22##F
19 20 21 22##T
19 21 22 23##F
19 20 21 22##T
19 20 22 23##F
19 20 21 22##T
19 20 21 23##F
15 16 17 18##T
15 17 18 19##F
15 16 17 18##T
15 16 18 19##F
15 16 17 18##T
15 16 17 19##F
16 17 18 19##T
16 18 19 20##F
16 17 18 19##T
16 17 19 20##F
16 17 18 19##T
16 17 18 20##F
17 18 19 20##T
17 19 20 21##F
17 18 19 20##T
17 18 20 21##F
17 18 19 20##T
17 18 19 21##F
18 19 20 21##T
18 20 21 22##F
18 19 20 21##T
18 19 21 22##F
18 19 20 21##T
18 19 20 22##F
19 20 21 22##T
19 21 22 23##F
19 20 21 22##T
19 20 22 23##F
19 20 21 22##T
19 20 21 23##F
20 21 22 23##T
20 22 23 24##F
20 21 22 23##T
20 21 23 24##F
20 21 22 23##T
20 21 22 24##F
16 17 18 19##T
16 18 19 20##F
16 17 18 19##T
16 17 19 20##F
16 17 18 19##T
16 17 18 20##F
17 18 19 20##T
17 19 20 21##F
17 18 19 20##T
17 18 20 21##F
17 18 19 20##T
17 18 19 21##F
18 19 20 21##T
18 20 21 22##F
18 19 20 21##T
18 19 21 22##F
18 19 20 21##T
18 19 20 22##F
19 20 21 22##T
19 21 22 23##F
19 20 21 22##T
19 20 22 23##F
19 20 21 22##T
19 20 21 23##F
20 21 22 23##T
20 22 23 24##F
20 21 22 23##T
20 21 23 24##F
20 21 22 23##T
20 21 22 24##F
21 22 23 24##T
21 23 24 25##F
21 22 23 24##T
21 22 24 25##F
21 22 23 24##T
21 22 23 25##F
17 18 19 20##T
17 19 20 21##F
17 18 19 20##T
17 18 20 21##F
17 18 19 20##T
17 18 19 21##F
18 19 20 21##T
18 20 21 22##F
18 19 20 21##T
18 19 21 22##F
18 19 20 21##T
18 19 20 22##F
19 20 21 22##T
19 21 22 23##F
19 20 21 22##T
19 20 22 23##F
19 20 21 22##T
19 20 21 23##F
20 21 22 23##T
20 22 23 24##F
20 21 22 23##T
20 21 23 24##F
20 21 22 23##T
20 21 22 24##F
21 22 23 24##T
21 23 24 25##F
21 22 23 24##T
21 22 24 25##F
21 22 23 24##T
21 22 23 25##F
22 23 24 25##T
22 24 25 26##F
22 23 24 25##T
22 23 25 26##F
22 23 24 25##T
22 23 24 26##F
18 19 20 21##T
18 20 21 22##F
18 19 20 21##T
18 19 21 22##F
18 19 20 21##T
18 19 20 22##F
19 20 21 22##T
19 21 22 23##F
19 20 21 22##T
19 20 22 23##F
19 20 21 22##T
19 20 21 23##F
20 21 22 23##T
20 22 23 24##F
20 21 22 23##T
20 21 23 24##F
20 21 22 23##T
20 21 22 24##F
21 22 23 24##T
21 23 24 25##F
21 22 23 24##T
21 22 24 25##F
21 22 23 24##T
21 22 23 25##F
22 23 24 25##T
22 24 25 26##F
22 23 24 25##T
22 23 25 26##F
22 23 24 25##T
22 23 24 26##F
23 24 25 26##T
23 25 26 27##F
23 24 25 26##T
23 24 26 27##F
23 24 25 26##T
23 24 25 27##F
19 20 21 22##T
19 21 22 23##F
19 20 21 22##T
19 20 22 23##F
19 20 21 22##T
19 20 21 23##F
20 21 22 23##T
20 22 23 24##F
20 21 22 23##T
20 21 23 24##F
20 21 22 23##T
20 21 22 24##F
21 22 23 24##T
21 23 24 25##F
21 22 23 24##T
21 22 24 25##F
21 22 23 24##T
21 22 23 25##F
22 23 24 25##T
22 24 25 26##F
22 23 24 25##T
22 23 25 26##F
22 23 24 25##T
22 23 24 26##F
23 24 25 26##T
23 25 26 27##F
23 24 25 26##T
23 24 26 27##F
23 24 25 26##T
23 24 25 27##F
24 25 26 27##T
24 26 27 28##F
24 25 26 27##T
24 25 27 28##F
24 25 26 27##T
24 25 26 28##F
