//1_1tf_telrij_tellen_heen.ps
//1_1tf_telrij_tellen_heen.ps from: 1 span: 10 maxanswer: 20 spreiding: 3 step: 1
1 2 3 4##T
1 3 4 5##F
1 2 3 4##T
1 2 4 5##F
1 2 3 4##T
1 2 3 5##F
2 3 4 5##T
2 4 5 6##F
2 3 4 5##T
2 3 5 6##F
2 3 4 5##T
2 3 4 6##F
3 4 5 6##T
3 5 6 7##F
3 4 5 6##T
3 4 6 7##F
3 4 5 6##T
3 4 5 7##F
4 5 6 7##T
4 6 7 8##F
4 5 6 7##T
4 5 7 8##F
4 5 6 7##T
4 5 6 8##F
5 6 7 8##T
5 7 8 9##F
5 6 7 8##T
5 6 8 9##F
5 6 7 8##T
5 6 7 9##F
6 7 8 9##T
6 8 9 10##F
6 7 8 9##T
6 7 9 10##F
6 7 8 9##T
6 7 8 10##F
