//1_2_telrij_tellen_heen_welk_getal_mist.ps
//1_2_telrij_tellen_heen_welk_getal_mist.ps from: 1 span: 10 maxanswer: 20 spreiding: 3 step: 1
1 3 4 5#1,2,3,4,5#2
1 2 4 5#1,2,3,4,5#3
1 2 3 5#1,2,3,4,5#4
2 4 5 6#2,3,4,5,6#3
2 3 5 6#2,3,4,5,6#4
2 3 4 6#2,3,4,5,6#5
3 5 6 7#3,4,5,6,7#4
3 4 6 7#3,4,5,6,7#5
3 4 5 7#3,4,5,6,7#6
4 6 7 8#4,5,6,7,8#5
4 5 7 8#4,5,6,7,8#6
4 5 6 8#4,5,6,7,8#7
5 7 8 9#5,6,7,8,9#6
5 6 8 9#5,6,7,8,9#7
5 6 7 9#5,6,7,8,9#8
6 8 9 10#6,7,8,9,10#7
6 7 9 10#6,7,8,9,10#8
6 7 8 10#6,7,8,9,10#9
2 4 5 6#2,3,4,5,6#3
2 3 5 6#2,3,4,5,6#4
2 3 4 6#2,3,4,5,6#5
3 5 6 7#3,4,5,6,7#4
3 4 6 7#3,4,5,6,7#5
3 4 5 7#3,4,5,6,7#6
4 6 7 8#4,5,6,7,8#5
4 5 7 8#4,5,6,7,8#6
4 5 6 8#4,5,6,7,8#7
5 7 8 9#5,6,7,8,9#6
5 6 8 9#5,6,7,8,9#7
5 6 7 9#5,6,7,8,9#8
6 8 9 10#6,7,8,9,10#7
6 7 9 10#6,7,8,9,10#8
6 7 8 10#6,7,8,9,10#9
7 9 10 11#7,8,9,10,11#8
7 8 10 11#7,8,9,10,11#9
7 8 9 11#7,8,9,10,11#10
3 5 6 7#3,4,5,6,7#4
3 4 6 7#3,4,5,6,7#5
3 4 5 7#3,4,5,6,7#6
4 6 7 8#4,5,6,7,8#5
4 5 7 8#4,5,6,7,8#6
4 5 6 8#4,5,6,7,8#7
5 7 8 9#5,6,7,8,9#6
5 6 8 9#5,6,7,8,9#7
5 6 7 9#5,6,7,8,9#8
6 8 9 10#6,7,8,9,10#7
6 7 9 10#6,7,8,9,10#8
6 7 8 10#6,7,8,9,10#9
7 9 10 11#7,8,9,10,11#8
7 8 10 11#7,8,9,10,11#9
7 8 9 11#7,8,9,10,11#10
8 10 11 12#8,9,10,11,12#9
8 9 11 12#8,9,10,11,12#10
8 9 10 12#8,9,10,11,12#11
4 6 7 8#4,5,6,7,8#5
4 5 7 8#4,5,6,7,8#6
4 5 6 8#4,5,6,7,8#7
5 7 8 9#5,6,7,8,9#6
5 6 8 9#5,6,7,8,9#7
5 6 7 9#5,6,7,8,9#8
6 8 9 10#6,7,8,9,10#7
6 7 9 10#6,7,8,9,10#8
6 7 8 10#6,7,8,9,10#9
7 9 10 11#7,8,9,10,11#8
7 8 10 11#7,8,9,10,11#9
7 8 9 11#7,8,9,10,11#10
8 10 11 12#8,9,10,11,12#9
8 9 11 12#8,9,10,11,12#10
8 9 10 12#8,9,10,11,12#11
9 11 12 13#9,10,11,12,13#10
9 10 12 13#9,10,11,12,13#11
9 10 11 13#9,10,11,12,13#12
5 7 8 9#5,6,7,8,9#6
5 6 8 9#5,6,7,8,9#7
5 6 7 9#5,6,7,8,9#8
6 8 9 10#6,7,8,9,10#7
6 7 9 10#6,7,8,9,10#8
6 7 8 10#6,7,8,9,10#9
7 9 10 11#7,8,9,10,11#8
7 8 10 11#7,8,9,10,11#9
7 8 9 11#7,8,9,10,11#10
8 10 11 12#8,9,10,11,12#9
8 9 11 12#8,9,10,11,12#10
8 9 10 12#8,9,10,11,12#11
9 11 12 13#9,10,11,12,13#10
9 10 12 13#9,10,11,12,13#11
9 10 11 13#9,10,11,12,13#12
10 12 13 14#10,11,12,13,14#11
10 11 13 14#10,11,12,13,14#12
10 11 12 14#10,11,12,13,14#13
6 8 9 10#6,7,8,9,10#7
6 7 9 10#6,7,8,9,10#8
6 7 8 10#6,7,8,9,10#9
7 9 10 11#7,8,9,10,11#8
7 8 10 11#7,8,9,10,11#9
7 8 9 11#7,8,9,10,11#10
8 10 11 12#8,9,10,11,12#9
8 9 11 12#8,9,10,11,12#10
8 9 10 12#8,9,10,11,12#11
9 11 12 13#9,10,11,12,13#10
9 10 12 13#9,10,11,12,13#11
9 10 11 13#9,10,11,12,13#12
10 12 13 14#10,11,12,13,14#11
10 11 13 14#10,11,12,13,14#12
10 11 12 14#10,11,12,13,14#13
11 13 14 15#11,12,13,14,15#12
11 12 14 15#11,12,13,14,15#13
11 12 13 15#11,12,13,14,15#14
7 9 10 11#7,8,9,10,11#8
7 8 10 11#7,8,9,10,11#9
7 8 9 11#7,8,9,10,11#10
8 10 11 12#8,9,10,11,12#9
8 9 11 12#8,9,10,11,12#10
