//24_2_eraf_analogie_tienstructuur.ps
//24_2_eraf_analogie_tienstructuur.ps from: 1 span: 10 maxanswer: 20 spreiding: 3 step: 1
//optellen en aftrekken, analogie tienstructuur, zonder tienoverschrijding
2-1=1 12-1#10,11,12#11
3-2=1 13-2#10,11,12#11
4-3=1 14-3#11,12,13#11
5-4=1 15-4#10,11,12#11
6-5=1 16-5#11,12,13#11
7-6=1 17-6#11,12,13#11
8-7=1 18-7#9,10,11#11
9-8=1 19-8#9,10,11#11
10-9=1 20-9#9,10,11#11
3-1=2 13-1#12,13,14#12
4-2=2 14-2#10,11,12#12
5-3=2 15-3#10,11,12#12
6-4=2 16-4#11,12,13#12
7-5=2 17-5#12,13,14#12
8-6=2 18-6#11,12,13#12
9-7=2 19-7#10,11,12#12
10-8=2 20-8#11,12,13#12
4-1=3 14-1#11,12,13#13
5-2=3 15-2#13,14,15#13
6-3=3 16-3#13,14,15#13
7-4=3 17-4#11,12,13#13
8-5=3 18-5#12,13,14#13
9-6=3 19-6#11,12,13#13
10-7=3 20-7#11,12,13#13
5-1=4 15-1#14,15,16#14
6-2=4 16-2#13,14,15#14
7-3=4 17-3#12,13,14#14
8-4=4 18-4#13,14,15#14
9-5=4 19-5#14,15,16#14
10-6=4 20-6#13,14,15#14
6-1=5 16-1#15,16,17#15
7-2=5 17-2#14,15,16#15
8-3=5 18-3#13,14,15#15
9-4=5 19-4#14,15,16#15
10-5=5 20-5#13,14,15#15
7-1=6 17-1#16,17,18#16
8-2=6 18-2#16,17,18#16
9-3=6 19-3#14,15,16#16
10-4=6 20-4#14,15,16#16
8-1=7 18-1#17,18,19#17
9-2=7 19-2#15,16,17#17
10-3=7 20-3#17,18,19#17
9-1=8 19-1#17,18,19#18
10-2=8 20-2#17,18,19#18
10-1=9 20-1#17,18,19#19
