//24_2_erbij_eraf_analogie_tienstructuur_zonder_tienoverschrijding.ps
//24_2_erbij_eraf_analogie_tienstructuur_zonder_tienoverschrijding.ps from: 1 span: 10 maxanswer: 20 spreiding: 3 step: 1
//optellen en aftrekken, analogie tienstructuur, zonder tienoverschrijding
1+1=2 1+11#10,11,12#12
1+2=3 1+12#12,13,14#13
1+3=4 1+13#12,13,14#14
1+4=5 1+14#13,14,15#15
1+5=6 1+15#14,15,16#16
1+6=7 1+16#17,18,19#17
1+7=8 1+17#18,19,20#18
1+8=9 1+18#18,19,20#19
2+1=3 2+11#13,14,15#13
2+2=4 2+12#14,15,16#14
2+3=5 2+13#13,14,15#15
2+4=6 2+14#15,16,17#16
2+5=7 2+15#16,17,18#17
2+6=8 2+16#18,19,20#18
2+7=9 2+17#19,20,21#19
3+1=4 3+11#13,14,15#14
3+2=5 3+12#13,14,15#15
3+3=6 3+13#16,17,18#16
3+4=7 3+14#17,18,19#17
3+5=8 3+15#16,17,18#18
3+6=9 3+16#18,19,20#19
4+1=5 4+11#13,14,15#15
4+2=6 4+12#15,16,17#16
4+3=7 4+13#15,16,17#17
4+4=8 4+14#16,17,18#18
4+5=9 4+15#19,20,21#19
5+1=6 5+11#16,17,18#16
5+2=7 5+12#17,18,19#17
5+3=8 5+13#18,19,20#18
5+4=9 5+14#18,19,20#19
6+1=7 6+11#15,16,17#17
6+2=8 6+12#17,18,19#18
6+3=9 6+13#19,20,21#19
7+1=8 7+11#18,19,20#18
7+2=9 7+12#17,18,19#19
8+1=9 8+11#19,20,21#19
