//24_2_erbij_eraf_analogie_tienstructuur_zonder_tienoverschrijding.ps
//24_2_erbij_eraf_analogie_tienstructuur_zonder_tienoverschrijding.ps from: 1 span: 10 maxanswer: 20 spreiding: 3 step: 1
//optellen en aftrekken, analogie tienstructuur, zonder tienoverschrijding
1+1=2 1+11#10,11,12#12
1+2=3 1+12#13,14,15#13
1+3=4 1+13#12,13,14#14
1+4=5 1+14#13,14,15#15
1+5=6 1+15#15,16,17#16
1+6=7 1+16#17,18,19#17
1+7=8 1+17#17,18,19#18
1+8=9 1+18#18,19,20#19
1+10=11 1+20#21,22,23#21
2+1=3 2+11#11,12,13#13
2+2=4 2+12#13,14,15#14
2+3=5 2+13#13,14,15#15
2+4=6 2+14#14,15,16#16
2+5=7 2+15#16,17,18#17
2+6=8 2+16#17,18,19#18
2+7=9 2+17#19,20,21#19
2+10=12 2+20#20,21,22#22
3+1=4 3+11#13,14,15#14
3+2=5 3+12#15,16,17#15
3+3=6 3+13#15,16,17#16
3+4=7 3+14#16,17,18#17
3+5=8 3+15#17,18,19#18
3+6=9 3+16#19,20,21#19
3+10=13 3+20#21,22,23#23
4+1=5 4+11#14,15,16#15
4+2=6 4+12#14,15,16#16
4+3=7 4+13#17,18,19#17
4+4=8 4+14#18,19,20#18
4+5=9 4+15#17,18,19#19
4+10=14 4+20#22,23,24#24
5+1=6 5+11#15,16,17#16
5+2=7 5+12#15,16,17#17
5+3=8 5+13#16,17,18#18
5+4=9 5+14#19,20,21#19
5+10=15 5+20#25,26,27#25
6+1=7 6+11#17,18,19#17
6+2=8 6+12#16,17,18#18
6+3=9 6+13#18,19,20#19
6+10=16 6+20#25,26,27#26
7+1=8 7+11#16,17,18#18
7+2=9 7+12#18,19,20#19
7+10=17 7+20#25,26,27#27
8+1=9 8+11#18,19,20#19
8+10=18 8+20#28,29,30#28
9+10=19 9+20#29,30,31#29
10+1=11 10+11#21,22,23#21
10+2=12 10+12#20,21,22#22
10+3=13 10+13#22,23,24#23
10+4=14 10+14#23,24,25#24
10+5=15 10+15#23,24,25#25
10+6=16 10+16#25,26,27#26
10+7=17 10+17#26,27,28#27
10+8=18 10+18#26,27,28#28
10+9=19 10+19#28,29,30#29
10+10=20 10+20#29,30,31#30
