//3_2tf_telrij_tellen_heenterug_sprongen.ps
//3_2tf_telrij_tellen_heenterug_sprongen.ps from: 1 span: 10 maxanswer: -1 spreiding: -1 step: 1
1 2 3 4##T
1 3 4 5##F
4 3 2 1##T
5 4 3 1##F
1 2 3 4##T
1 2 4 5##F
4 3 2 1##T
5 4 2 1##F
1 2 3 4##T
1 2 3 5##F
4 3 2 1##T
5 3 2 1##F
2 3 4 5##T
2 4 5 6##F
5 4 3 2##T
6 5 4 2##F
2 3 4 5##T
2 3 5 6##F
5 4 3 2##T
6 5 3 2##F
2 3 4 5##T
2 3 4 6##F
5 4 3 2##T
6 4 3 2##F
3 4 5 6##T
3 5 6 7##F
6 5 4 3##T
7 6 5 3##F
3 4 5 6##T
3 4 6 7##F
6 5 4 3##T
7 6 4 3##F
3 4 5 6##T
3 4 5 7##F
6 5 4 3##T
7 5 4 3##F
4 5 6 7##T
4 6 7 8##F
7 6 5 4##T
8 7 6 4##F
4 5 6 7##T
4 5 7 8##F
7 6 5 4##T
8 7 5 4##F
4 5 6 7##T
4 5 6 8##F
7 6 5 4##T
8 6 5 4##F
5 6 7 8##T
5 7 8 9##F
8 7 6 5##T
9 8 7 5##F
5 6 7 8##T
5 6 8 9##F
8 7 6 5##T
9 8 6 5##F
5 6 7 8##T
5 6 7 9##F
8 7 6 5##T
9 7 6 5##F
6 7 8 9##T
6 8 9 10##F
9 8 7 6##T
10 9 8 6##F
6 7 8 9##T
6 7 9 10##F
9 8 7 6##T
10 9 7 6##F
6 7 8 9##T
6 7 8 10##F
9 8 7 6##T
10 8 7 6##F
