//lossen.ps frm:1 spn:1 max:100 spr:3 stp:1
//0#0,1,2,3,4,5,6,7,8,9#0
//1#0,1,2,3,4,5,6,7,8,9#0
//2#0,1,2,3,4,5,6,7,8,9#0
//3#0,1,2,3,4,5,6,7,8,9#0
//4#0,1,2,3,4,5,6,7,8,9#0
//5#0,1,2,3,4,5,6,7,8,9#0
//6#0,1,2,3,4,5,6,7,8,9#0
//7#0,1,2,3,4,5,6,7,8,9#0
//8#0,1,2,3,4,5,6,7,8,9#0
//9#0,1,2,3,4,5,6,7,8,9#0
//10#0,1,2,3,4,5,6,7,8,9#1
//11#0,1,2,3,4,5,6,7,8,9#1
//12#0,1,2,3,4,5,6,7,8,9#1
//13#0,1,2,3,4,5,6,7,8,9#1
//14#0,1,2,3,4,5,6,7,8,9#1
//15#0,1,2,3,4,5,6,7,8,9#1
//16#0,1,2,3,4,5,6,7,8,9#1
//17#0,1,2,3,4,5,6,7,8,9#1
//18#0,1,2,3,4,5,6,7,8,9#1
//19#0,1,2,3,4,5,6,7,8,9#1
20#0,1,2,3,4,5,6,7,8,9#2
21#0,1,2,3,4,5,6,7,8,9#2
22#0,1,2,3,4,5,6,7,8,9#2
23#0,1,2,3,4,5,6,7,8,9#2
24#0,1,2,3,4,5,6,7,8,9#2
25#0,1,2,3,4,5,6,7,8,9#2
26#0,1,2,3,4,5,6,7,8,9#2
27#0,1,2,3,4,5,6,7,8,9#2
28#0,1,2,3,4,5,6,7,8,9#2
29#0,1,2,3,4,5,6,7,8,9#2
30#0,1,2,3,4,5,6,7,8,9#3
31#0,1,2,3,4,5,6,7,8,9#3
32#0,1,2,3,4,5,6,7,8,9#3
33#0,1,2,3,4,5,6,7,8,9#3
34#0,1,2,3,4,5,6,7,8,9#3
35#0,1,2,3,4,5,6,7,8,9#3
36#0,1,2,3,4,5,6,7,8,9#3
37#0,1,2,3,4,5,6,7,8,9#3
38#0,1,2,3,4,5,6,7,8,9#3
39#0,1,2,3,4,5,6,7,8,9#3
40#0,1,2,3,4,5,6,7,8,9#4
41#0,1,2,3,4,5,6,7,8,9#4
42#0,1,2,3,4,5,6,7,8,9#4
43#0,1,2,3,4,5,6,7,8,9#4
44#0,1,2,3,4,5,6,7,8,9#4
45#0,1,2,3,4,5,6,7,8,9#4
46#0,1,2,3,4,5,6,7,8,9#4
47#0,1,2,3,4,5,6,7,8,9#4
48#0,1,2,3,4,5,6,7,8,9#4
49#0,1,2,3,4,5,6,7,8,9#4
50#0,1,2,3,4,5,6,7,8,9#5
51#0,1,2,3,4,5,6,7,8,9#5
52#0,1,2,3,4,5,6,7,8,9#5
53#0,1,2,3,4,5,6,7,8,9#5
54#0,1,2,3,4,5,6,7,8,9#5
55#0,1,2,3,4,5,6,7,8,9#5
56#0,1,2,3,4,5,6,7,8,9#5
57#0,1,2,3,4,5,6,7,8,9#5
58#0,1,2,3,4,5,6,7,8,9#5
59#0,1,2,3,4,5,6,7,8,9#5
60#0,1,2,3,4,5,6,7,8,9#6
61#0,1,2,3,4,5,6,7,8,9#6
62#0,1,2,3,4,5,6,7,8,9#6
63#0,1,2,3,4,5,6,7,8,9#6
64#0,1,2,3,4,5,6,7,8,9#6
65#0,1,2,3,4,5,6,7,8,9#6
66#0,1,2,3,4,5,6,7,8,9#6
67#0,1,2,3,4,5,6,7,8,9#6
68#0,1,2,3,4,5,6,7,8,9#6
69#0,1,2,3,4,5,6,7,8,9#6
70#0,1,2,3,4,5,6,7,8,9#7
71#0,1,2,3,4,5,6,7,8,9#7
72#0,1,2,3,4,5,6,7,8,9#7
73#0,1,2,3,4,5,6,7,8,9#7
74#0,1,2,3,4,5,6,7,8,9#7
75#0,1,2,3,4,5,6,7,8,9#7
76#0,1,2,3,4,5,6,7,8,9#7
77#0,1,2,3,4,5,6,7,8,9#7
78#0,1,2,3,4,5,6,7,8,9#7
79#0,1,2,3,4,5,6,7,8,9#7
80#0,1,2,3,4,5,6,7,8,9#8
81#0,1,2,3,4,5,6,7,8,9#8
82#0,1,2,3,4,5,6,7,8,9#8
83#0,1,2,3,4,5,6,7,8,9#8
84#0,1,2,3,4,5,6,7,8,9#8
85#0,1,2,3,4,5,6,7,8,9#8
86#0,1,2,3,4,5,6,7,8,9#8
87#0,1,2,3,4,5,6,7,8,9#8
88#0,1,2,3,4,5,6,7,8,9#8
89#0,1,2,3,4,5,6,7,8,9#8
90#0,1,2,3,4,5,6,7,8,9#9
91#0,1,2,3,4,5,6,7,8,9#9
92#0,1,2,3,4,5,6,7,8,9#9
93#0,1,2,3,4,5,6,7,8,9#9
94#0,1,2,3,4,5,6,7,8,9#9
95#0,1,2,3,4,5,6,7,8,9#9
96#0,1,2,3,4,5,6,7,8,9#9
97#0,1,2,3,4,5,6,7,8,9#9
98#0,1,2,3,4,5,6,7,8,9#9
99#0,1,2,3,4,5,6,7,8,9#9

//Saved to ..\output\vergelijken.txt
