//positie.ps frm:1 spn:5 max:100 spr:3 stp:1
//positie heen/terug
//3#1,/2,/3,/4,5#3
//5#2,/3,/4,/5,6#5
//5#3,/4,/5,/6,7#5
//6#4,/5,/6,/7,8#6
//7#5,/6,/7,/8,9#7
//7#6,/7,/8,/9,10#7
//9#7,/8,/9,/10,11#9
//9#8,/9,/10,/11,12#9
//10#9,/10,/11,/12,13#10
//12#10,/11,/12,/13,14#12
//12#11,/12,/13,/14,15#12
//14#12,/13,/14,/15,16#14
//15#13,/14,/15,/16,17#15
//17#14,/15,/16,/17,18#17
//17#15,/16,/17,/18,19#17
//18#16,/17,/18,/19,20#18
//18#17,/18,/19,/20,21#18
//21#18,/19,/20,/21,22#21
//20#19,/20,/21,/22,23#20
21#20,/21,/22,/23,24#21
24#21,/22,/23,/24,25#24
23#22,/23,/24,/25,26#23
25#23,/24,/25,/26,27#25
27#24,/25,/26,/27,28#27
26#25,/26,/27,/28,29#26
27#26,/27,/28,/29,30#27
29#27,/28,/29,/30,31#29
29#28,/29,/30,/31,32#29
31#29,/30,/31,/32,33#31
32#30,/31,/32,/33,34#32
34#31,/32,/33,/34,35#34
33#32,/33,/34,/35,36#33
35#33,/34,/35,/36,37#35
36#34,/35,/36,/37,38#36
37#35,/36,/37,/38,39#37
37#36,/37,/38,/39,40#37
39#37,/38,/39,/40,41#39
39#38,/39,/40,/41,42#39
42#39,/40,/41,/42,43#42
42#40,/41,/42,/43,44#42
43#41,/42,/43,/44,45#43
45#42,/43,/44,/45,46#45
46#43,/44,/45,/46,47#46
46#44,/45,/46,/47,48#46
47#45,/46,/47,/48,49#47
49#46,/47,/48,/49,50#49
50#47,/48,/49,/50,51#50
50#48,/49,/50,/51,52#50
52#49,/50,/51,/52,53#52
52#50,/51,/52,/53,54#52
53#51,/52,/53,/54,55#53
54#52,/53,/54,/55,56#54
55#53,/54,/55,/56,57#55
56#54,/55,/56,/57,58#56
57#55,/56,/57,/58,59#57
57#56,/57,/58,/59,60#57
58#57,/58,/59,/60,61#58
60#58,/59,/60,/61,62#60
62#59,/60,/61,/62,63#62
63#60,/61,/62,/63,64#63
62#61,/62,/63,/64,65#62
65#62,/63,/64,/65,66#65
66#63,/64,/65,/66,67#66
65#64,/65,/66,/67,68#65
68#65,/66,/67,/68,69#68
68#66,/67,/68,/69,70#68
68#67,/68,/69,/70,71#68
69#68,/69,/70,/71,72#69
71#69,/70,/71,/72,73#71
72#70,/71,/72,/73,74#72
74#71,/72,/73,/74,75#74
74#72,/73,/74,/75,76#74
76#73,/74,/75,/76,77#76
77#74,/75,/76,/77,78#77
78#75,/76,/77,/78,79#78
77#76,/77,/78,/79,80#77
80#77,/78,/79,/80,81#80
80#78,/79,/80,/81,82#80
80#79,/80,/81,/82,83#80
83#80,/81,/82,/83,84#83
82#81,/82,/83,/84,85#82
85#82,/83,/84,/85,86#85
84#83,/84,/85,/86,87#84
87#84,/85,/86,/87,88#87
87#85,/86,/87,/88,89#87
89#86,/87,/88,/89,90#89
90#87,/88,/89,/90,91#90
90#88,/89,/90,/91,92#90
91#89,/90,/91,/92,93#91
92#90,/91,/92,/93,94#92
93#91,/92,/93,/94,95#93
94#92,/93,/94,/95,96#94
96#93,/94,/95,/96,97#96
97#94,/95,/96,/97,98#97
98#95,/96,/97,/98,99#98
97#96,/97,/98,/99,100#97

//Saved to ..\output\vergelijken.txt
