//5 verdelen met rest.ps frm:1 spn:10 max:20 spr:3 stp:1
2 kinderen verdelen 3 dropjes. ieder krijgt er 1##1
3 kinderen verdelen 4 dropjes. ieder krijgt er 1##1
2 kinderen verdelen 5 dropjes. ieder krijgt er 2##1
3 kinderen verdelen 5 dropjes. ieder krijgt er 1##2
4 kinderen verdelen 5 dropjes. ieder krijgt er 1##1
4 kinderen verdelen 6 dropjes. ieder krijgt er 1##2
5 kinderen verdelen 6 dropjes. ieder krijgt er 1##1
2 kinderen verdelen 7 dropjes. ieder krijgt er 3##1
3 kinderen verdelen 7 dropjes. ieder krijgt er 2##1
4 kinderen verdelen 7 dropjes. ieder krijgt er 1##3
5 kinderen verdelen 7 dropjes. ieder krijgt er 1##2
6 kinderen verdelen 7 dropjes. ieder krijgt er 1##1
3 kinderen verdelen 8 dropjes. ieder krijgt er 2##2
5 kinderen verdelen 8 dropjes. ieder krijgt er 1##3
6 kinderen verdelen 8 dropjes. ieder krijgt er 1##2
7 kinderen verdelen 8 dropjes. ieder krijgt er 1##1
2 kinderen verdelen 9 dropjes. ieder krijgt er 4##1
4 kinderen verdelen 9 dropjes. ieder krijgt er 2##1
5 kinderen verdelen 9 dropjes. ieder krijgt er 1##4
6 kinderen verdelen 9 dropjes. ieder krijgt er 1##3
7 kinderen verdelen 9 dropjes. ieder krijgt er 1##2
8 kinderen verdelen 9 dropjes. ieder krijgt er 1##1
3 kinderen verdelen 10 dropjes. ieder krijgt er 3##1
4 kinderen verdelen 10 dropjes. ieder krijgt er 2##2
6 kinderen verdelen 10 dropjes. ieder krijgt er 1##4
7 kinderen verdelen 10 dropjes. ieder krijgt er 1##3
8 kinderen verdelen 10 dropjes. ieder krijgt er 1##2
9 kinderen verdelen 10 dropjes. ieder krijgt er 1##1
2 kinderen verdelen 11 dropjes. ieder krijgt er 5##1
3 kinderen verdelen 11 dropjes. ieder krijgt er 3##2
4 kinderen verdelen 11 dropjes. ieder krijgt er 2##3
5 kinderen verdelen 11 dropjes. ieder krijgt er 2##1
6 kinderen verdelen 11 dropjes. ieder krijgt er 1##5
7 kinderen verdelen 11 dropjes. ieder krijgt er 1##4
8 kinderen verdelen 11 dropjes. ieder krijgt er 1##3
9 kinderen verdelen 11 dropjes. ieder krijgt er 1##2
10 kinderen verdelen 11 dropjes. ieder krijgt er 1##1
5 kinderen verdelen 12 dropjes. ieder krijgt er 2##2
7 kinderen verdelen 12 dropjes. ieder krijgt er 1##5
8 kinderen verdelen 12 dropjes. ieder krijgt er 1##4
9 kinderen verdelen 12 dropjes. ieder krijgt er 1##3
10 kinderen verdelen 12 dropjes. ieder krijgt er 1##2
2 kinderen verdelen 13 dropjes. ieder krijgt er 6##1
3 kinderen verdelen 13 dropjes. ieder krijgt er 4##1
4 kinderen verdelen 13 dropjes. ieder krijgt er 3##1
5 kinderen verdelen 13 dropjes. ieder krijgt er 2##3
6 kinderen verdelen 13 dropjes. ieder krijgt er 2##1
7 kinderen verdelen 13 dropjes. ieder krijgt er 1##6
8 kinderen verdelen 13 dropjes. ieder krijgt er 1##5
9 kinderen verdelen 13 dropjes. ieder krijgt er 1##4
10 kinderen verdelen 13 dropjes. ieder krijgt er 1##3
3 kinderen verdelen 14 dropjes. ieder krijgt er 4##2
4 kinderen verdelen 14 dropjes. ieder krijgt er 3##2
5 kinderen verdelen 14 dropjes. ieder krijgt er 2##4
6 kinderen verdelen 14 dropjes. ieder krijgt er 2##2
8 kinderen verdelen 14 dropjes. ieder krijgt er 1##6
9 kinderen verdelen 14 dropjes. ieder krijgt er 1##5
10 kinderen verdelen 14 dropjes. ieder krijgt er 1##4
2 kinderen verdelen 15 dropjes. ieder krijgt er 7##1
4 kinderen verdelen 15 dropjes. ieder krijgt er 3##3
6 kinderen verdelen 15 dropjes. ieder krijgt er 2##3
7 kinderen verdelen 15 dropjes. ieder krijgt er 2##1
8 kinderen verdelen 15 dropjes. ieder krijgt er 1##7
9 kinderen verdelen 15 dropjes. ieder krijgt er 1##6
10 kinderen verdelen 15 dropjes. ieder krijgt er 1##5
3 kinderen verdelen 16 dropjes. ieder krijgt er 5##1
5 kinderen verdelen 16 dropjes. ieder krijgt er 3##1
6 kinderen verdelen 16 dropjes. ieder krijgt er 2##4
7 kinderen verdelen 16 dropjes. ieder krijgt er 2##2
9 kinderen verdelen 16 dropjes. ieder krijgt er 1##7
10 kinderen verdelen 16 dropjes. ieder krijgt er 1##6
2 kinderen verdelen 17 dropjes. ieder krijgt er 8##1
3 kinderen verdelen 17 dropjes. ieder krijgt er 5##2
4 kinderen verdelen 17 dropjes. ieder krijgt er 4##1
5 kinderen verdelen 17 dropjes. ieder krijgt er 3##2
6 kinderen verdelen 17 dropjes. ieder krijgt er 2##5
7 kinderen verdelen 17 dropjes. ieder krijgt er 2##3
8 kinderen verdelen 17 dropjes. ieder krijgt er 2##1
9 kinderen verdelen 17 dropjes. ieder krijgt er 1##8
10 kinderen verdelen 17 dropjes. ieder krijgt er 1##7
4 kinderen verdelen 18 dropjes. ieder krijgt er 4##2
5 kinderen verdelen 18 dropjes. ieder krijgt er 3##3
7 kinderen verdelen 18 dropjes. ieder krijgt er 2##4
8 kinderen verdelen 18 dropjes. ieder krijgt er 2##2
10 kinderen verdelen 18 dropjes. ieder krijgt er 1##8
2 kinderen verdelen 19 dropjes. ieder krijgt er 9##1
3 kinderen verdelen 19 dropjes. ieder krijgt er 6##1
4 kinderen verdelen 19 dropjes. ieder krijgt er 4##3
5 kinderen verdelen 19 dropjes. ieder krijgt er 3##4
6 kinderen verdelen 19 dropjes. ieder krijgt er 3##1
7 kinderen verdelen 19 dropjes. ieder krijgt er 2##5
8 kinderen verdelen 19 dropjes. ieder krijgt er 2##3
9 kinderen verdelen 19 dropjes. ieder krijgt er 2##1
10 kinderen verdelen 19 dropjes. ieder krijgt er 1##9
3 kinderen verdelen 20 dropjes. ieder krijgt er 6##2
6 kinderen verdelen 20 dropjes. ieder krijgt er 3##2
7 kinderen verdelen 20 dropjes. ieder krijgt er 2##6
8 kinderen verdelen 20 dropjes. ieder krijgt er 2##4
9 kinderen verdelen 20 dropjes. ieder krijgt er 2##2
2 kinderen verdelen 21 dropjes. ieder krijgt er 10##1
4 kinderen verdelen 21 dropjes. ieder krijgt er 5##1
5 kinderen verdelen 21 dropjes. ieder krijgt er 4##1
6 kinderen verdelen 21 dropjes. ieder krijgt er 3##3
8 kinderen verdelen 21 dropjes. ieder krijgt er 2##5
9 kinderen verdelen 21 dropjes. ieder krijgt er 2##3
10 kinderen verdelen 21 dropjes. ieder krijgt er 2##1
3 kinderen verdelen 22 dropjes. ieder krijgt er 7##1
4 kinderen verdelen 22 dropjes. ieder krijgt er 5##2
5 kinderen verdelen 22 dropjes. ieder krijgt er 4##2
6 kinderen verdelen 22 dropjes. ieder krijgt er 3##4
7 kinderen verdelen 22 dropjes. ieder krijgt er 3##1
8 kinderen verdelen 22 dropjes. ieder krijgt er 2##6
9 kinderen verdelen 22 dropjes. ieder krijgt er 2##4
10 kinderen verdelen 22 dropjes. ieder krijgt er 2##2
3 kinderen verdelen 23 dropjes. ieder krijgt er 7##2
4 kinderen verdelen 23 dropjes. ieder krijgt er 5##3
5 kinderen verdelen 23 dropjes. ieder krijgt er 4##3
6 kinderen verdelen 23 dropjes. ieder krijgt er 3##5
7 kinderen verdelen 23 dropjes. ieder krijgt er 3##2
8 kinderen verdelen 23 dropjes. ieder krijgt er 2##7
9 kinderen verdelen 23 dropjes. ieder krijgt er 2##5
10 kinderen verdelen 23 dropjes. ieder krijgt er 2##3
5 kinderen verdelen 24 dropjes. ieder krijgt er 4##4
7 kinderen verdelen 24 dropjes. ieder krijgt er 3##3
9 kinderen verdelen 24 dropjes. ieder krijgt er 2##6
10 kinderen verdelen 24 dropjes. ieder krijgt er 2##4
3 kinderen verdelen 25 dropjes. ieder krijgt er 8##1
4 kinderen verdelen 25 dropjes. ieder krijgt er 6##1
6 kinderen verdelen 25 dropjes. ieder krijgt er 4##1
7 kinderen verdelen 25 dropjes. ieder krijgt er 3##4
8 kinderen verdelen 25 dropjes. ieder krijgt er 3##1
9 kinderen verdelen 25 dropjes. ieder krijgt er 2##7
10 kinderen verdelen 25 dropjes. ieder krijgt er 2##5
3 kinderen verdelen 26 dropjes. ieder krijgt er 8##2
4 kinderen verdelen 26 dropjes. ieder krijgt er 6##2
5 kinderen verdelen 26 dropjes. ieder krijgt er 5##1
6 kinderen verdelen 26 dropjes. ieder krijgt er 4##2
7 kinderen verdelen 26 dropjes. ieder krijgt er 3##5
8 kinderen verdelen 26 dropjes. ieder krijgt er 3##2
9 kinderen verdelen 26 dropjes. ieder krijgt er 2##8
10 kinderen verdelen 26 dropjes. ieder krijgt er 2##6
4 kinderen verdelen 27 dropjes. ieder krijgt er 6##3
5 kinderen verdelen 27 dropjes. ieder krijgt er 5##2
6 kinderen verdelen 27 dropjes. ieder krijgt er 4##3
7 kinderen verdelen 27 dropjes. ieder krijgt er 3##6
8 kinderen verdelen 27 dropjes. ieder krijgt er 3##3
10 kinderen verdelen 27 dropjes. ieder krijgt er 2##7
3 kinderen verdelen 28 dropjes. ieder krijgt er 9##1
5 kinderen verdelen 28 dropjes. ieder krijgt er 5##3
6 kinderen verdelen 28 dropjes. ieder krijgt er 4##4
8 kinderen verdelen 28 dropjes. ieder krijgt er 3##4
9 kinderen verdelen 28 dropjes. ieder krijgt er 3##1
10 kinderen verdelen 28 dropjes. ieder krijgt er 2##8
3 kinderen verdelen 29 dropjes. ieder krijgt er 9##2
4 kinderen verdelen 29 dropjes. ieder krijgt er 7##1
5 kinderen verdelen 29 dropjes. ieder krijgt er 5##4
6 kinderen verdelen 29 dropjes. ieder krijgt er 4##5
7 kinderen verdelen 29 dropjes. ieder krijgt er 4##1
8 kinderen verdelen 29 dropjes. ieder krijgt er 3##5
9 kinderen verdelen 29 dropjes. ieder krijgt er 3##2
10 kinderen verdelen 29 dropjes. ieder krijgt er 2##9
4 kinderen verdelen 30 dropjes. ieder krijgt er 7##2
7 kinderen verdelen 30 dropjes. ieder krijgt er 4##2
8 kinderen verdelen 30 dropjes. ieder krijgt er 3##6
9 kinderen verdelen 30 dropjes. ieder krijgt er 3##3
3 kinderen verdelen 31 dropjes. ieder krijgt er 10##1
4 kinderen verdelen 31 dropjes. ieder krijgt er 7##3
5 kinderen verdelen 31 dropjes. ieder krijgt er 6##1
6 kinderen verdelen 31 dropjes. ieder krijgt er 5##1
7 kinderen verdelen 31 dropjes. ieder krijgt er 4##3
8 kinderen verdelen 31 dropjes. ieder krijgt er 3##7
9 kinderen verdelen 31 dropjes. ieder krijgt er 3##4
10 kinderen verdelen 31 dropjes. ieder krijgt er 3##1
3 kinderen verdelen 32 dropjes. ieder krijgt er 10##2
5 kinderen verdelen 32 dropjes. ieder krijgt er 6##2
6 kinderen verdelen 32 dropjes. ieder krijgt er 5##2
7 kinderen verdelen 32 dropjes. ieder krijgt er 4##4
9 kinderen verdelen 32 dropjes. ieder krijgt er 3##5
10 kinderen verdelen 32 dropjes. ieder krijgt er 3##2
4 kinderen verdelen 33 dropjes. ieder krijgt er 8##1
5 kinderen verdelen 33 dropjes. ieder krijgt er 6##3
6 kinderen verdelen 33 dropjes. ieder krijgt er 5##3
7 kinderen verdelen 33 dropjes. ieder krijgt er 4##5
8 kinderen verdelen 33 dropjes. ieder krijgt er 4##1
9 kinderen verdelen 33 dropjes. ieder krijgt er 3##6
10 kinderen verdelen 33 dropjes. ieder krijgt er 3##3
4 kinderen verdelen 34 dropjes. ieder krijgt er 8##2
5 kinderen verdelen 34 dropjes. ieder krijgt er 6##4
6 kinderen verdelen 34 dropjes. ieder krijgt er 5##4
7 kinderen verdelen 34 dropjes. ieder krijgt er 4##6
8 kinderen verdelen 34 dropjes. ieder krijgt er 4##2
9 kinderen verdelen 34 dropjes. ieder krijgt er 3##7
10 kinderen verdelen 34 dropjes. ieder krijgt er 3##4
4 kinderen verdelen 35 dropjes. ieder krijgt er 8##3
6 kinderen verdelen 35 dropjes. ieder krijgt er 5##5
8 kinderen verdelen 35 dropjes. ieder krijgt er 4##3
9 kinderen verdelen 35 dropjes. ieder krijgt er 3##8
10 kinderen verdelen 35 dropjes. ieder krijgt er 3##5
5 kinderen verdelen 36 dropjes. ieder krijgt er 7##1
7 kinderen verdelen 36 dropjes. ieder krijgt er 5##1
8 kinderen verdelen 36 dropjes. ieder krijgt er 4##4
10 kinderen verdelen 36 dropjes. ieder krijgt er 3##6
4 kinderen verdelen 37 dropjes. ieder krijgt er 9##1
5 kinderen verdelen 37 dropjes. ieder krijgt er 7##2
6 kinderen verdelen 37 dropjes. ieder krijgt er 6##1
7 kinderen verdelen 37 dropjes. ieder krijgt er 5##2
8 kinderen verdelen 37 dropjes. ieder krijgt er 4##5
9 kinderen verdelen 37 dropjes. ieder krijgt er 4##1
10 kinderen verdelen 37 dropjes. ieder krijgt er 3##7
4 kinderen verdelen 38 dropjes. ieder krijgt er 9##2
5 kinderen verdelen 38 dropjes. ieder krijgt er 7##3
6 kinderen verdelen 38 dropjes. ieder krijgt er 6##2
7 kinderen verdelen 38 dropjes. ieder krijgt er 5##3
8 kinderen verdelen 38 dropjes. ieder krijgt er 4##6
9 kinderen verdelen 38 dropjes. ieder krijgt er 4##2
10 kinderen verdelen 38 dropjes. ieder krijgt er 3##8
4 kinderen verdelen 39 dropjes. ieder krijgt er 9##3
5 kinderen verdelen 39 dropjes. ieder krijgt er 7##4
6 kinderen verdelen 39 dropjes. ieder krijgt er 6##3
7 kinderen verdelen 39 dropjes. ieder krijgt er 5##4
8 kinderen verdelen 39 dropjes. ieder krijgt er 4##7
9 kinderen verdelen 39 dropjes. ieder krijgt er 4##3
