1 x1 =1 dus 10 x1##10
1 x5 =5 dus 2 x5##10
1 x2 =2 dus 2 x2##4
2 x5 =10 dus 4 x5##20
1 x2 =2 dus 10 x2##20
4 x5 =20 dus 8 x5##40
2 x2 =4 dus 4 x2##8
5 x5 =25 dus 10 x5##50
4 x2 =8 dus 8 x2##16
10 x5 =50 dus 5 x5##25
5 x2 =10 dus 10 x2##20
10 x5 =50 dus 9 x5##45
5 x2 =10 dus 6 x2##12
5 x5 =25 dus 6 x5##30
5 x2 =10 dus 4 x2##8
1 x5 =5 dus 10 x5##50
10 x2 =10 dus 5 x2##8
4 x5 =20 dus 5 x5##25
10 x2 =20 dus 9 x2##18
6 x5 =30 dus 7 x5##35
10 x2 =10 dus 1 x2##2
1 x6 =6 dus 2 x6##12
1 x3 3= dus 2 x3##6
2 x6 =12 dus 4 x6##24
2 x3 =6 dus 4 x3##12
4 x6 =24 dus 8 x6##48
4 x3 =12 dus 8 x2##16
5 x6 =30 dus 6 x6##36
1 x3 =3 dus 10 x3##30
5 x6 =30 dus 10 x6##60
10 x3 30= dus 5 x3##15
5 x6 =30 dus 4 x6##24
10 x3 =30 dus 9 x3##18
1 x6 =6 dus 10 x6##60
10 x3 =30 dus 1 x3##3
10 x6 =60 dus 5 x6##30
5 x3 =15 dus 6 x3##18
10 x6 =60 dus 9 x6##54
5 x3 =15 dus 4 x3##12
1 x7 =7 dus 2 x7##14
5 x3 =15 dus 10 x3##30
2 x7 =14 dus 4 x7##28
1 x4 =4 dus 2 x4##8
4 x7 =28 dus 8 x7##56
2 x4 =8 dus 4 x4##16
5 x7 =35 dus 10 x7##70
4 x4 =16 dus 8 x4##32
1 x7 =7 dus 10 x7##70
1 x4=4 dus 10 x4##40
5 x7 35= dus 4 x7##28
10 x4 =40 dus 5 x4##20
5 x7 =35 dus 6 x7##42
10 x4 =40 dus 9 x4##36
10 x7 =70 dus 9 x7##63
10 x4 =40 dus 1 x4##4
10 x7 =7- dus 5 x7##35
5 x4 =20 dus 6 x4##24
3 x7 =21 dus 6 x7##42
5 x4 =20 dus 4 x4##16
1 x8 =8 dus 2 x8##16
2 x8 =16 dus 4 x8##32
5 x9 =35 dus 4 x9##36 
4 x8 =32 dus 8 x8##64
5 x9 =45 dus 6 x9##54
5 x8 =40 dus 10 x8##80
10 x9 =90 dus 5 x9##45
1 x8 =8 dus 10 x8##80
10 x9 =90 dus 9 x9##81
5 x8 =40 dus 6 x8##48
1 x10 =10 dus 10 x10##100
5 x8 =40 dus 4 x8##32
5 x10 =50 dus 10 x10##100
10 x8 =80 dus 9 x8##80
10 x10 =100 dus 9 x10##90
10 x8 =80 dus 5 x8##40
10 x10 =100 dus 5 x10##50
3 x8 =24 dus 6 x8##48
5 x10 =50 dus 6 x10##60
1 x9 =9 dus 2 x9##18
5 x 10 =50 dus 4 x10##40
2 x9 =18 dus 4 x9##36
1 x9 =9 dus 10 x9##90
5 x9 =45 dus 10 x9##90
