//5 volgend getal.ps frm:1 spn:10 max:20 spr:3 stp:1
1 2 3 4##5
2 3 4 5##6
3 4 5 6##7
4 5 6 7##8
5 6 7 8##9
6 7 8 9##10
2 4 6 8##10
4 6 8 10##12
6 8 10 12##14
8 10 12 14##16
10 12 14 16##18
12 14 16 18##20
3 6 9 12##15
6 9 12 15##18
9 12 15 18##21
12 15 18 21##24
15 18 21 24##27
18 21 24 27##30
4 8 12 16##20
8 12 16 20##24
12 16 20 24##28
16 20 24 28##32
20 24 28 32##36
24 28 32 36##40
5 10 15 20##25
10 15 20 25##30
15 20 25 30##35
20 25 30 35##40
25 30 35 40##45
30 35 40 45##50
6 12 18 24##30
12 18 24 30##36
18 24 30 36##42
24 30 36 42##48
30 36 42 48##54
36 42 48 54##60
7 14 21 28##35
14 21 28 35##42
21 28 35 42##49
28 35 42 49##56
35 42 49 56##63
42 49 56 63##70
8 16 24 32##40
16 24 32 40##48
24 32 40 48##56
32 40 48 56##64
40 48 56 64##72
48 56 64 72##80
9 18 27 36##45
18 27 36 45##54
27 36 45 54##63
36 45 54 63##72
45 54 63 72##81
54 63 72 81##90
10 20 30 40##50
20 30 40 50##60
30 40 50 60##70
40 50 60 70##80
50 60 70 80##90
60 70 80 90##100

//Saved to ..\output\5 volgend getal.txt
